name,model_params,train accuracy,val accuracy,precision,recall,f1 score
decisiontree,crit=gini_maxdepth=None_minsamplessplit=10_minsamplesleaf=20_maxfeatures=3,0.7978910369068541,0.7902097902097902,0.8853503184713376,0.5889830508474576,0.7073791348600509
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=1_maxfeatures=None,0.9050966608084359,0.6993006993006993,0.8582677165354331,0.923728813559322,0.889795918367347
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=1_maxfeatures=auto,0.8998242530755711,0.6923076923076923,0.8683127572016461,0.8940677966101694,0.8810020876826722
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=1_maxfeatures=sqrt,0.8998242530755711,0.6923076923076923,0.8683127572016461,0.8940677966101694,0.8810020876826722
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=1_maxfeatures=log2,0.8998242530755711,0.6923076923076923,0.8683127572016461,0.8940677966101694,0.8810020876826722
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=1_maxfeatures=3,0.9191564147627417,0.7132867132867133,0.8861788617886179,0.923728813559322,0.9045643153526971
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=10_maxfeatures=None,0.8681898066783831,0.7202797202797203,0.851528384279476,0.826271186440678,0.8387096774193549
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=10_maxfeatures=auto,0.804920913884007,0.8181818181818182,0.861271676300578,0.6313559322033898,0.7286063569682152
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=10_maxfeatures=sqrt,0.804920913884007,0.8181818181818182,0.861271676300578,0.6313559322033898,0.7286063569682152
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=10_maxfeatures=log2,0.804920913884007,0.8181818181818182,0.861271676300578,0.6313559322033898,0.7286063569682152
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=10_maxfeatures=3,0.8400702987697716,0.7762237762237763,0.8606965174129353,0.7330508474576272,0.7917620137299771
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=20_maxfeatures=None,0.820738137082601,0.7832167832167832,0.845360824742268,0.6949152542372882,0.7627906976744186
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=20_maxfeatures=auto,0.7996485061511424,0.7272727272727273,0.805,0.6822033898305084,0.7385321100917431
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=20_maxfeatures=sqrt,0.7996485061511424,0.7272727272727273,0.805,0.6822033898305084,0.7385321100917431
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=20_maxfeatures=log2,0.7996485061511424,0.7272727272727273,0.805,0.6822033898305084,0.7385321100917431
decisiontree,crit=gini_maxdepth=None_minsamplessplit=15_minsamplesleaf=20_maxfeatures=3,0.7978910369068541,0.7902097902097902,0.8853503184713376,0.5889830508474576,0.7073791348600509
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=1_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=1_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=10_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=10_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=20_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=2_minsamplesleaf=20_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=1_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=1_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=10_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=10_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=20_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=10_minsamplesleaf=20_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=1_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=1_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=10_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=10_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=20_maxfeatures=None,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=2_minsamplessplit=15_minsamplesleaf=20_maxfeatures=3,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=1_maxfeatures=None,0.7978910369068541,0.7692307692307693,0.8457142857142858,0.6271186440677966,0.7201946472019465
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=1_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=10_maxfeatures=None,0.7943760984182777,0.7902097902097902,0.8361581920903954,0.6271186440677966,0.7167070217917675
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=10_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=20_maxfeatures=None,0.7978910369068541,0.7902097902097902,0.8853503184713376,0.5889830508474576,0.7073791348600509
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=2_minsamplesleaf=20_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=1_maxfeatures=None,0.7978910369068541,0.7692307692307693,0.8457142857142858,0.6271186440677966,0.7201946472019465
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=1_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=10_maxfeatures=None,0.7943760984182777,0.7902097902097902,0.8361581920903954,0.6271186440677966,0.7167070217917675
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=10_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=20_maxfeatures=None,0.7978910369068541,0.7902097902097902,0.8853503184713376,0.5889830508474576,0.7073791348600509
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=10_minsamplesleaf=20_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=1_maxfeatures=None,0.7978910369068541,0.7692307692307693,0.8457142857142858,0.6271186440677966,0.7201946472019465
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=1_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=1_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=1_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=1_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=10_maxfeatures=None,0.7943760984182777,0.7902097902097902,0.8361581920903954,0.6271186440677966,0.7167070217917675
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=10_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=10_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=10_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=10_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=20_maxfeatures=None,0.7978910369068541,0.7902097902097902,0.8853503184713376,0.5889830508474576,0.7073791348600509
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=20_maxfeatures=auto,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=20_maxfeatures=sqrt,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=20_maxfeatures=log2,0.7750439367311072,0.7692307692307693,0.7872340425531915,0.6271186440677966,0.6981132075471698
decisiontree,crit=gini_maxdepth=3_minsamplessplit=15_minsamplesleaf=20_maxfeatures=3,0.8172231985940246,0.7972027972027972,0.8084112149532711,0.7330508474576272,0.768888888888889
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=1_maxfeatures=None,0.9543057996485061,0.6503496503496503,0.9411764705882353,0.9491525423728814,0.9451476793248945
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=1_maxfeatures=auto,0.9543057996485061,0.6433566433566433,0.9411764705882353,0.9491525423728814,0.9451476793248945
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=1_maxfeatures=sqrt,0.9543057996485061,0.6433566433566433,0.9411764705882353,0.9491525423728814,0.9451476793248945
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=1_maxfeatures=log2,0.9543057996485061,0.6433566433566433,0.9411764705882353,0.9491525423728814,0.9451476793248945
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=1_maxfeatures=3,0.9543057996485061,0.6573426573426573,0.9411764705882353,0.9491525423728814,0.9451476793248945
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=10_maxfeatures=None,0.8681898066783831,0.7202797202797203,0.851528384279476,0.826271186440678,0.8387096774193549
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=10_maxfeatures=auto,0.8066783831282952,0.8181818181818182,0.8662790697674418,0.6313559322033898,0.730392156862745
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=10_maxfeatures=sqrt,0.8066783831282952,0.8181818181818182,0.8662790697674418,0.6313559322033898,0.730392156862745
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=10_maxfeatures=log2,0.8066783831282952,0.8181818181818182,0.8662790697674418,0.6313559322033898,0.730392156862745
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=10_maxfeatures=3,0.8400702987697716,0.7762237762237763,0.8606965174129353,0.7330508474576272,0.7917620137299771
decisiontree,crit=entropy_maxdepth=None_minsamplessplit=2_minsamplesleaf=20_maxfeatures=None,0.820738137082601,0.7832167832167832,0.845360824742268,0.6949152542372882,0.7627906976744186
